Number,Name,Code,Emoji,Hall of Fame,Comment
№,CLDR Short Name,Code,Browser,,
112,pile of poo,U+1F4A9,💩,,
113,clown face,U+1F921,🤡,,
114,ogre,U+1F479,👹,,
115,goblin,U+1F47A,👺,,
116,ghost,U+1F47B,👻,,
117,alien,U+1F47D,👽,,
118,alien monster,U+1F47E,👾,,
119,robot,U+1F916,🤖,,
cat-face,,,,,
№,CLDR Short Name,Code,Browser,,
120,grinning cat,U+1F63A,😺,,
121,grinning cat with smiling eyes,U+1F638,😸,,
122,cat with tears of joy,U+1F639,😹,,
123,smiling cat with heart-eyes,U+1F63B,😻,,
124,cat with wry smile,U+1F63C,😼,,
125,kissing cat,U+1F63D,😽,,
126,weary cat,U+1F640,🙀,,
127,crying cat,U+1F63F,😿,,
128,pouting cat,U+1F63E,😾,,
monkey-face,,,,,
№,CLDR Short Name,Code,Browser,,
129,see-no-evil monkey,U+1F648,🙈,,
130,hear-no-evil monkey,U+1F649,🙉,,
131,speak-no-evil monkey,U+1F64A,🙊,,
heart,,,,,
№,CLDR Short Name,Code,Browser,,
132,love letter,U+1F48C,💌,,
133,heart with arrow,U+1F498,💘,,
134,heart with ribbon,U+1F49D,💝,,
135,sparkling heart,U+1F496,💖,,
136,growing heart,U+1F497,💗,,
137,beating heart,U+1F493,💓,,
138,revolving hearts,U+1F49E,💞,,
139,two hearts,U+1F495,💕,,
140,heart decoration,U+1F49F,💟,,
141,heart exclamation,U+2763,❣,,
142,broken heart,U+1F494,💔,,
143,heart on fire,U+2764 U+FE0F U+200D U+1F525,❤️‍🔥,,
144,mending heart,U+2764 U+FE0F U+200D U+1FA79,❤️‍🩹,,
145,red heart,U+2764,❤,,
146,pink heart,U+1FA77,🩷,,
147,orange heart,U+1F9E1,🧡,,
148,yellow heart,U+1F49B,💛,,
149,green heart,U+1F49A,💚,,
150,blue heart,U+1F499,💙,,
151,light blue heart,U+1FA75,🩵,,
№,CLDR Short Name,Code,Browser,,
152,purple heart,U+1F49C,💜,,
153,brown heart,U+1F90E,🤎,,
154,black heart,U+1F5A4,🖤,,
155,grey heart,U+1FA76,🩶,,
156,white heart,U+1F90D,🤍,,
emotion,,,,,
№,CLDR Short Name,Code,Browser,,
157,kiss mark,U+1F48B,💋,,
158,hundred points,U+1F4AF,💯,,
159,anger symbol,U+1F4A2,💢,,
160,⊛ fight cloud,U+1FAEF,🫯,,
161,collision,U+1F4A5,💥,,
162,dizzy,U+1F4AB,💫,,
163,sweat droplets,U+1F4A6,💦,,
164,dashing away,U+1F4A8,💨,,
165,hole,U+1F573,🕳,,
166,speech balloon,U+1F4AC,💬,,
167,eye in speech bubble,U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F,👁️‍🗨️,,
168,left speech bubble,U+1F5E8,🗨,,
169,right anger bubble,U+1F5EF,🗯,,
170,thought balloon,U+1F4AD,💭,,
171,ZZZ,U+1F4A4,💤,,
People & Body,,,,,
hand-fingers-open,,,,,
№,CLDR Short Name,Code,Browser,,
172,waving hand,U+1F44B,👋,,
173,raised back of hand,U+1F91A,🤚,,
174,hand with fingers splayed,U+1F590,🖐,,
175,raised hand,U+270B,✋,,
176,vulcan salute,U+1F596,🖖,,
177,rightwards hand,U+1FAF1,🫱,,
178,leftwards hand,U+1FAF2,🫲,,
179,palm down hand,U+1FAF3,🫳,,
180,palm up hand,U+1FAF4,🫴,,
181,leftwards pushing hand,U+1FAF7,🫷,,
182,rightwards pushing hand,U+1FAF8,🫸,,
hand-fingers-partial,,,,,
№,CLDR Short Name,Code,Browser,,
183,OK hand,U+1F44C,👌,,
184,pinched fingers,U+1F90C,🤌,,
185,pinching hand,U+1F90F,🤏,,
186,victory hand,U+270C,✌,,
